web-scraper-order,web-scraper-start-url,category_links,category_links-href,subcategory_links,subcategory_links-href,qdata
"1685438191-1","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Since FamCard is numberless, how do I use it for online purchases?","https://famapp.in/faqs/question/2z/fampay-since-famcard-is-numberless-how-do-i-use-it-for-online-purchases","Since FamCard is numberless, how do I use it for online purchases?"
"1685438191-2","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Since FamCard is numberless, how do I use it for online purchases?","https://famapp.in/faqs/question/2z/fampay-since-famcard-is-numberless-how-do-i-use-it-for-online-purchases","The physical FamCard is numberless but all the card details are safely stored on the FamPay App which can easily be copy pasted to make payments online. 

You can find your card on the home screen. On swiping down, you get the details of the card which can be used on all the online platforms for purchases. Tap on the card number to copy it and paste wherever you want to spend."
"1685438199-3","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Can the FamCard Me be used even after you turn 20+?","https://famapp.in/faqs/question/NDX/fampay-can-the-famcard-me-be-used-even-after-you-turn-20","Can the FamCard Me be used even after you turn 20+?"
"1685438199-4","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Can the FamCard Me be used even after you turn 20+?","https://famapp.in/faqs/question/NDX/fampay-can-the-famcard-me-be-used-even-after-you-turn-20","Yes! You can continue using the FamCard Me even after you turn 20+. This is one card that will never leave your side 💞"
"1685438207-5","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Is FamCard  secure for transactions?","https://famapp.in/faqs/question/GvV/fampay-is-famcard-secure-for-transactions","Is FamCard  secure for transactions?"
"1685438207-6","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Is FamCard  secure for transactions?","https://famapp.in/faqs/question/GvV/fampay-is-famcard-secure-for-transactions","Security of our users and their money is of our first priority. FamCard is a prepaid card issued by IDFC FIRST Bank. 

FamCard has no numbers on the physical card, which makes it extremely secure. Since all the details are on your app, there's no fear of information theft even if you lose it!

Both physical and virtual card can be paused, blocked, and managed at your fingertips on the app anytime.

Note: To ensure safety from your end, please do not share your OTP with anyone while making a transaction."
"1685438215-7","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Can I cancel or return/exchange the FamCard Me that I ordered?","https://famapp.in/faqs/question/qwd/fampay-can-i-cancel-or-returnexchange-the-famcard-me-that-i-ordered","Can I cancel or return/exchange the FamCard Me that I ordered?"
"1685438215-8","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Can I cancel or return/exchange the FamCard Me that I ordered?","https://famapp.in/faqs/question/qwd/fampay-can-i-cancel-or-returnexchange-the-famcard-me-that-i-ordered","No, the FamCard Me cannot be cancelled, returned or exchanged. If you wanna change your doodle, you can block your existing card and order a new one. Besides, your FamCard Me will be so perfectly made for you that you wouldn't want to exchange it! 😍"
"1685438223-9","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","How to setup the FamCard Me once it arrives?","https://famapp.in/faqs/question/LOV/fampay-how-to-setup-the-famcard-me-once-it-arrives","How to setup the FamCard Me once it arrives?"
"1685438223-10","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","How to setup the FamCard Me once it arrives?","https://famapp.in/faqs/question/LOV/fampay-how-to-setup-the-famcard-me-once-it-arrives","Once the FamCard Me reaches you, go ahead and activate it on the FamPay app by following the simple instructions that come within the packaging. Once activated, you can load your account with money and start using the card for all your payments!"
"1685438231-11","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Are there any hidden fees or charges?","https://famapp.in/faqs/question/Xm4/fampay-are-there-any-hidden-fees-or-charges","Are there any hidden fees or charges?"
"1685438231-12","https://famapp.in/faqs","FamCard Me","https://famapp.in/faqs/subcategory/famcardme?title=FamCard%20Me","Are there any hidden fees or charges?","https://famapp.in/faqs/question/Xm4/fampay-are-there-any-hidden-fees-or-charges","Absolutely not! FamPay and the FamCard Me have no hidden fees or charges, and requires no minimum balance to be maintained in your account."
